state,year,stateid,vio,mur,rap,aga,bur,auto,shall,density,rpcpi,rpcui,rpcim,pbm1019,pbm2029,pwm1019,pwm2029
Alabama,1977,1,414.4444444,14.20054201,25.17615176,278.2655827,1135.528455,280.7317073,1,74.55239868,9561.055664,75.90759277,166.6666718,2.997776031,1.980451941,6.832653999,6.281441689
Alabama,1978,1,419.0807055,13.33511491,25.49438803,281.1598076,1229.315874,302.485302,1,75.56669617,9914.110352,55.21472549,157.9754639,2.906960011,2.0254457,6.675037384,6.29957819
Alabama,1979,1,413.3191828,13.15998939,27.51392942,263.1467233,1287.264526,320.0849032,1,76.24532318,9833.333008,57.85123825,183.1955872,2.81743145,2.06893158,6.522352695,6.334568977
Alabama,1980,1,448.5343131,13.18152225,29.98861054,273.238195,1526.674066,316.2011526,1,76.70116425,9496.359375,76.45631409,192.9611664,2.758591652,2.131692648,6.372511864,6.386179924
Alabama,1981,1,470.4545455,11.87436159,26.07252298,306.052094,1450.740552,284.1930541,1,77.18657684,9525.852539,60.50605011,188.1188049,2.728555679,2.153746843,6.219542027,6.471193314
Alabama,1982,1,447.7047933,10.57570378,26.02079635,299.0869896,1256.175501,273.3198073,1,77.31924438,9483.9375,79.7927475,177.2020721,2.683188438,2.16181612,6.046262741,6.508250237
Alabama,1983,1,416.0394039,9.19424097,23.5160394,284.9456934,1073.124526,230.5127557,1,77.49329376,9811.245117,82.32931519,186.746994,2.638895035,2.166996479,5.883008957,6.541252136
Alabama,1984,1,431.1779449,9.373433584,25.11278195,300.6265664,1001.754386,233.5588972,1,77.84230042,10348.41211,55.82290649,181.9056854,2.582977772,2.156846523,5.71198082,6.537117004
Alabama,1985,1,457.5478737,9.848296444,26.83412087,315.4936583,1034.866949,258.5177816,1,78.25010681,10691.4502,48.32713699,174.7211914,2.533525944,2.130130291,5.580050468,6.475475311
Alabama,1986,1,558.006415,10.0912904,28.37404392,407.9447323,1158.993338,266.9874167,1,78.62526703,11021.89746,49.27007294,166.9708099,2.491326094,2.08922863,5.478472233,6.367772102
Alabama,1987,1,559.2211609,9.306882194,27.8471712,409.8701935,1198.310066,262.8214548,1,79.0920105,11210.3877,40.49295807,156.6901398,2.47896719,2.027414799,5.411628246,6.206445694
Alabama,1988,1,558.565544,9.886115823,29.75527017,401.1630724,1233.826024,266.7070511,1,79.26101685,11529.16309,32.96703339,161.4539337,2.473596096,1.960655689,5.368951797,6.021634102
Alabama,1989,1,590.7965032,10.22340942,30.98591549,415.6629432,1146.770277,297.4502186,1,79.38665009,11916.12891,33.87096786,169.3548431,2.467750549,1.88738656,5.303966522,5.838675499
Alabama,1990,1,708.5604146,11.55772664,32.64377181,520.6916718,1103.428784,347.7960009,1,79.61326599,11949.50293,38.25554657,179.035965,2.44625926,1.843642116,5.165606499,5.739818096
Alabama,1991,1,844.1672781,11.46979702,35.58327219,644.3629249,1268.598679,363.3651259,1,80.61101532,11994.86035,46.25550842,192.3641663,2.445841789,1.844525576,5.033946037,5.672857285
Alabama,1992,1,871.6634429,11.00096712,41.19922631,654.5938104,1186.000967,362.2582205,1,81.56163025,12305.06055,55.59515381,227.3699188,2.443329811,1.866803169,4.948917389,5.582314014
Alabama,1993,1,780.415572,11.5595892,35.13255314,574.2536422,1088.559828,337.7597325,1,82.622612,12294.80957,47.75086594,233.9100342,2.42783761,1.891982913,4.922618389,5.438702583
Alabama,1994,1,683.6691159,11.87485186,35.2453188,465.3472387,1044.418109,331.8321877,1,83.40785217,12588.39453,33.06342697,239.5411682,2.417005539,1.905094862,4.890992641,5.285349846
Alabama,1995,1,632.3536327,11.16858688,31.74229955,403.6915119,1024.829532,346.6023983,1,83.99436951,12828.74023,30.83989525,245.4068298,2.411435366,1.904717922,4.886796951,5.16579628
Alabama,1996,1,565.3873157,10.39082612,32.69365785,355.5815586,1002.129651,365.8319682,1,84.53962708,12903.12305,33.77947617,252.3900604,2.388563633,1.904156685,4.867724419,5.084580421
Alabama,1997,1,564.4593656,9.863394304,32.32229683,361.7967122,1013.799491,356.726094,1,85.12835693,13157.63281,31.15264893,250.4672852,2.375886917,1.916588306,4.840680599,5.005299568
Alabama,1998,1,512.0863971,8.134191176,33.15716912,339.8667279,964.2693015,341.7049632,1,85.73438263,13630.06152,31.28834343,247.8527679,2.347555161,1.925816774,4.778470039,4.953209877
Alabama,1999,1,490.1985463,7.894986157,34.623519,326.4633986,884.4215218,300.5586904,1,86.10531616,13782.11328,30.61224556,247.2989197,2.327876568,1.941113949,4.71465683,4.863243103
Alabama,2000,1,486.1595197,7.398079647,33.32508826,317.2179623,906.9056239,288.0304018,1,87.6400528,13976.19043,30.77816582,240.4181213,2.356805086,1.844236135,4.865143776,4.747698784
Alabama,2001,1,438.1827165,8.480811437,30.6338545,274.1159369,909.4383599,282.3729803,1,88.04260254,14156.97363,41.21965027,243.9299774,2.367114067,1.851852655,4.829894066,4.671286583
Alabama,2002,1,444.9980531,6.765059961,37.15201246,267.9678206,950.6360496,310.1210655,1,88.28805542,14320.17773,52.25125122,275.1528625,2.370800972,1.852864981,4.807850838,4.62365818
Alabama,2003,1,429.2223816,6.638947396,36.76955481,251.7471089,960.2049503,332.1027967,1,88.74922943,14489.13086,49.45652008,293.4782715,2.36905098,1.872591734,4.791283131,4.610556602
