,RF,Mkt-RF,SMB,HML,MOM,ARKK,ARKK-RF,Nasdaq,Nasdaq-RF,Lagged ARKK-RF,,,,,,,,,
201801,0.12,5.57,-3.15,-1.33,4,0.13,0.01,0.07,-0.05,,,,,,,,,,
201802,0.11,-3.65,0.23,-1.07,3.5,-0.01,-0.12,-0.02,-0.13,0.01,,,,,,,,,
201803,0.11,-2.35,4.05,-0.23,1.1,-0.04,-0.15,-0.03,-0.14,-0.12,,,,,,,,,
201804,0.14,0.28,1.14,0.54,0.3,0.00,-0.14,0.00,-0.14,-0.15,,,,,,,,,
201805,0.14,2.65,5.26,-3.18,3.8,0.11,-0.03,0.05,-0.09,-0.14,,,,,,,,,
201806,0.14,0.48,1.15,-2.33,2.3,0.03,-0.11,0.01,-0.13,-0.03,,,,,,,,,
201807,0.16,3.19,-2.23,0.47,1.4,-0.01,-0.17,0.02,-0.14,-0.11,,,,,,,,,
201808,0.16,3.44,1.13,-3.98,5.2,0.12,-0.04,0.06,-0.10,-0.17,,,,,,,,,
201809,0.15,0.06,-2.28,-1.69,0,-0.05,-0.20,-0.01,-0.16,-0.04,,,,,,,,,
201810,0.19,-7.68,-4.77,3.44,1.9,-0.10,-0.29,-0.09,-0.28,-0.20,,,,,,,,,
201811,0.18,1.69,-0.68,0.28,1.3,0.04,-0.14,0.00,-0.18,-0.29,,,,,,,,,
201812,0.2,-9.57,-2.37,-1.85,2.1,-0.16,-0.36,-0.09,-0.29,-0.14,,,,,,,,,
201901,0.21,8.4,2.89,-0.46,8.6,0.19,-0.02,0.10,-0.11,-0.36,,,,,,,,,
201902,0.18,3.4,2.05,-2.67,0.8,0.08,-0.10,0.03,-0.15,-0.02,,,,,,,,,
201903,0.19,1.1,-3.03,-4.1,2.2,0.00,-0.19,0.03,-0.16,-0.10,,,,,,,,,
201904,0.21,3.97,-1.74,2.14,2.9,0.01,-0.20,0.05,-0.16,-0.19,,,,,,,,,
201905,0.21,-6.94,-1.31,-2.35,7.5,-0.14,-0.35,-0.08,-0.29,-0.20,,,,,,,,,
201906,0.18,6.93,0.27,-0.72,2.3,0.18,0.00,0.07,-0.11,-0.35,,,,,,,,,
201907,0.19,1.19,-1.93,0.47,2.8,0.01,-0.18,0.02,-0.17,0.00,,,,,,,,,
201908,0.16,-2.58,-2.37,-4.77,6.9,-0.09,-0.25,-0.03,-0.19,-0.18,,,,,,,,,
201909,0.18,1.43,-0.97,6.74,6.8,-0.03,-0.21,0.00,-0.18,-0.25,,,,,,,,,
201910,0.16,2.06,0.29,-1.92,0.1,0.03,-0.13,0.04,-0.12,-0.21,,,,,,,,,
201911,0.12,3.87,0.79,-2,2.6,0.14,0.02,0.04,-0.08,-0.13,,,,,,,,,
201912,0.14,2.77,0.73,1.77,1.7,-0.01,-0.15,0.04,-0.10,0.02,,,,,,,,,
202001,0.13,-0.11,-3.11,-6.23,5.9,0.04,-0.09,0.02,-0.11,-0.15,,,,,,,,,
202002,0.12,-8.13,1.07,-3.79,0.4,0.02,-0.10,-0.06,-0.18,-0.09,,,,,,,,,
202003,0.13,-13.39,-4.86,-13.95,7.9,-0.17,-0.30,-0.10,-0.23,-0.10,,,,,,,,,
202004,0,13.65,2.47,-1.26,5.2,0.26,0.26,0.15,0.15,-0.30,,,,,,,,,
202005,0.01,5.58,2.47,-4.89,0.4,0.14,0.13,0.07,0.06,0.26,,,,,,,,,
202006,0.01,2.46,2.7,-2.17,0.7,0.14,0.13,0.06,0.05,0.13,,,,,,,,,
202007,0.01,5.77,-2.32,-1.37,7.6,0.13,0.12,0.07,0.06,0.13,,,,,,,,,
202008,0.01,7.63,-0.22,-2.96,0.5,0.19,0.18,0.10,0.09,0.12,,,,,,,,,
202009,0.01,-3.63,0.04,-2.68,3.1,-0.03,-0.04,-0.05,-0.06,0.18,,,,,,,,,
202010,0.01,-2.1,4.37,4.22,3,-0.01,-0.02,-0.02,-0.03,-0.04,,,,,,,,,
202011,0.01,12.47,5.81,2.13,2.4,0.24,0.23,0.12,0.11,-0.02,,,,,,,,,
202012,0.01,4.63,4.89,-1.5,2.3,0.11,0.10,0.06,0.05,0.23,,,,,,,,,
202101,0.01,-0.03,7.34,2.97,4.5,0.12,0.11,0.01,0.00,0.10,,,,,,,,,
